Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator,Hour,Day_of_Week,Month,Amount_Ratio,Speed_Amount_Ratio,Speed_X_Amount
Bus ,FTG-403-PQR-321,C-103,Regular,Large,330,115,"13.21331620748757, 77.55413526894684",86,Fraud,5,4,12,2.869565217391304,0.2606060606060606,28380
Car,FTG-404-DXF-098,A-101,Express,Small,90,90,"13.21331620748757, 77.55413526894684",56,Not Fraud,7,0,2,1.0,0.6222222222222222,5040
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.21331620748757, 77.55413526894684",79,Not Fraud,9,6,3,inf,inf,0
Truck,FTG-406-GHI-432,C-103,Express,Large,330,330,"13.21331620748757, 77.55413526894684",64,Not Fraud,12,0,4,1.0,0.19393939393939394,21120
Van,FTG-407-JKL-109,B-102,Regular,Medium,125,125,"13.21331620748757, 77.55413526894684",97,Not Fraud,14,0,5,1.0,0.776,12125
Sedan,FTG-408-UVW-876,A-101,Express,Medium,115,115,"13.21331620748757, 77.55413526894684",69,Not Fraud,16,1,6,1.0,0.6,7935
SUV,FTG-409-RST-543,B-102,Regular,Large,145,145,"13.21331620748757, 77.55413526894684",94,Not Fraud,18,2,8,1.0,0.6482758620689655,13630
Bus ,FTG-410-MNO-210,C-103,Express,Large,330,330,"13.21331620748757, 77.55413526894684",54,Not Fraud,21,3,9,1.0,0.16363636363636364,17820
Car,FTG-411-QPE-987,A-101,Regular,Small,90,90,"13.21331620748757, 77.55413526894684",81,Not Fraud,23,4,10,1.0,0.9,7290
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.21331620748757, 77.55413526894684",65,Not Fraud,1,6,11,inf,inf,0
Truck,FTG-413-PPI-321,C-103,Regular,Large,330,330,"13.21331620748757, 77.55413526894684",92,Not Fraud,3,6,12,1.0,0.2787878787878788,30360
Van,FTG-414-KJH-098,B-102,Express,Medium,125,125,"13.21331620748757, 77.55413526894684",50,Not Fraud,6,1,2,1.0,0.4,6250
Sedan,FTG-415-DCV-765,A-101,Regular,Medium,115,115,"13.21331620748757, 77.55413526894684",75,Not Fraud,8,0,3,1.0,0.6521739130434783,8625
SUV,FTG-416-NDH-432,B-102,Express,Large,145,145,"13.21331620748757, 77.55413526894684",58,Not Fraud,10,1,4,1.0,0.4,8410
Bus ,FTG-417-LDI-109,C-103,Regular,Large,330,330,"13.21331620748757, 77.55413526894684",89,Not Fraud,12,1,5,1.0,0.2696969696969697,29370
Car,FTG-418-UDT-876,A-101,Express,Small,90,90,"13.21331620748757, 77.55413526894684",44,Not Fraud,15,2,6,1.0,0.4888888888888889,3960
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.21331620748757, 77.55413526894684",78,Not Fraud,17,3,8,inf,inf,0
Truck,FTG-420-TRU-210,C-103,Express,Large,330,330,"13.21331620748757, 77.55413526894684",67,Not Fraud,19,4,9,1.0,0.20303030303030303,22110
Van,FTG-421-BVC-987,B-102,Regular,Medium,125,125,"13.21331620748757, 77.55413526894684",95,Not Fraud,21,4,10,1.0,0.76,11875
Sedan,FTG-422-XSW-654,A-101,Express,Medium,115,115,"13.21331620748757, 77.55413526894684",55,Not Fraud,0,5,11,1.0,0.4782608695652174,6325
SUV,FTG-423-NRK-321,B-102,Regular,Large,145,145,"13.21331620748757, 77.55413526894684",80,Not Fraud,2,5,12,1.0,0.5517241379310345,11600
Bus ,FTG-424-CDE-098,C-103,Express,Large,330,330,"13.21331620748757, 77.55413526894684",62,Not Fraud,4,1,2,1.0,0.18787878787878787,20460
Car,FTG-425-VRN-765,A-101,Regular,Small,90,90,"13.21331620748757, 77.55413526894684",87,Not Fraud,6,0,3,1.0,0.9666666666666667,7830
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.21331620748757, 77.55413526894684",47,Not Fraud,9,1,4,inf,inf,0
Truck,FTG-427-HGT-109,C-103,Regular,Large,330,115,"13.21331620748757, 77.55413526894684",73,Fraud,11,1,5,2.869565217391304,0.22121212121212122,24090
Van,FTG-428-WSX-876,B-102,Express,Medium,125,90,"13.21331620748757, 77.55413526894684",68,Fraud,13,2,6,1.3888888888888888,0.544,8500
Sedan,FTG-429-QSZ-543,A-101,Regular,Medium,115,100,"13.21331620748757, 77.55413526894684",91,Fraud,15,3,8,1.15,0.7913043478260869,10465
SUV,FTG-430-LPO-210,B-102,Express,Large,145,145,"13.21331620748757, 77.55413526894684",53,Not Fraud,18,4,9,1.0,0.36551724137931035,7685
Bus ,FTG-431-ZAS-987,C-103,Regular,Large,330,330,"13.21331620748757, 77.55413526894684",82,Not Fraud,20,4,10,1.0,0.24848484848484848,27060
Car,FTG-432-IYC-654,A-101,Express,Small,90,90,"13.21331620748757, 77.55413526894684",56,Not Fraud,22,5,11,1.0,0.6222222222222222,5040
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.21331620748757, 77.55413526894684",84,Not Fraud,0,6,12,inf,inf,0
Truck,FTG-434-RYV-098,C-103,Express,Large,330,330,"13.21331620748757, 77.55413526894684",69,Not Fraud,3,1,2,1.0,0.20909090909090908,22770
Van,FTG-435-UDC-765,B-102,Regular,Medium,125,125,"13.21331620748757, 77.55413526894684",94,Not Fraud,5,0,3,1.0,0.752,11750
Sedan,FTG-436-OOM-432,A-101,Express,Medium,115,115,"13.21331620748757, 77.55413526894684",49,Not Fraud,7,1,4,1.0,0.4260869565217391,5635
SUV,FTG-437-OJI-109,B-102,Regular,Large,145,145,"13.21331620748757, 77.55413526894684",76,Not Fraud,9,1,5,1.0,0.5241379310344828,11020
Bus ,FTG-438-LPJ-876,C-103,Express,Large,330,330,"13.21331620748757, 77.55413526894684",63,Not Fraud,12,2,6,1.0,0.19090909090909092,20790
Car,FTG-439-UTY-543,A-101,Regular,Small,90,90,"13.21331620748757, 77.55413526894684",88,Not Fraud,14,3,8,1.0,0.9777777777777777,7920
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.21331620748757, 77.55413526894684",74,Not Fraud,16,4,9,inf,inf,0
Truck,FTG-441-ZXC-987,C-103,Regular,Large,330,330,"13.21331620748757, 77.55413526894684",96,Not Fraud,18,4,10,1.0,0.2909090909090909,31680
Van,FTG-442-VBN-654,B-102,Express,Medium,125,125,"13.21331620748757, 77.55413526894684",61,Not Fraud,21,5,11,1.0,0.488,7625
Sedan,FTG-443-QWE-321,A-101,Regular,Medium,115,90,"13.21331620748757, 77.55413526894684",85,Fraud,23,5,12,1.2777777777777777,0.7391304347826086,9775
SUV,FTG-444-MKH-098,B-102,Express,Large,145,145,"13.21331620748757, 77.55413526894684",52,Not Fraud,1,1,2,1.0,0.3586206896551724,7540
Bus ,FTG-445-DCF-765,C-103,Regular,Large,330,330,"13.21331620748757, 77.55413526894684",79,Not Fraud,3,0,3,1.0,0.23939393939393938,26070
Car,FTG-446-POI-432,A-101,Express,Small,90,90,"13.21331620748757, 77.55413526894684",66,Not Fraud,6,1,4,1.0,0.7333333333333333,5940
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.21331620748757, 77.55413526894684",90,Not Fraud,8,1,5,inf,inf,0
Truck,FTG-448-JKL-876,C-103,Express,Large,330,330,"13.21331620748757, 77.55413526894684",48,Not Fraud,10,2,6,1.0,0.14545454545454545,15840
Van,FTG-449-RFD-543,B-102,Regular,Medium,125,125,"13.21331620748757, 77.55413526894684",77,Not Fraud,12,3,8,1.0,0.616,9625
Sedan,FTG-450-HGT-210,A-101,Express,Medium,115,115,"13.21331620748757, 77.55413526894684",60,Not Fraud,15,4,9,1.0,0.5217391304347826,6900
SUV,FTG-451-YUI-987,B-102,Regular,Large,145,145,"13.21331620748757, 77.55413526894684",83,Not Fraud,17,4,10,1.0,0.5724137931034483,12035
Bus ,FTG-452-BVC-654,C-103,Express,Large,330,330,"13.21331620748757, 77.55413526894684",71,Not Fraud,19,5,11,1.0,0.21515151515151515,23430
Car,FTG-453-NPH-321,A-101,Regular,Small,90,90,"13.21331620748757, 77.55413526894684",97,Not Fraud,21,5,12,1.0,1.0777777777777777,8730
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.21331620748757, 77.55413526894684",46,Not Fraud,0,1,2,inf,inf,0
Truck,FTG-455-EDC-765,C-103,Regular,Large,330,125,"13.21331620748757, 77.55413526894684",81,Fraud,2,0,3,2.64,0.24545454545454545,26730
Van,FTG-456-LMK-432,B-102,Express,Medium,125,125,"13.21331620748757, 77.55413526894684",64,Not Fraud,4,1,4,1.0,0.512,8000
Sedan,FTG-457-PLN-109,A-101,Regular,Medium,115,60,"13.21331620748757, 77.55413526894684",93,Fraud,6,1,5,1.9166666666666667,0.808695652173913,10695
SUV,FTG-458-VQR-876,B-102,Express,Large,145,90,"13.21331620748757, 77.55413526894684",57,Fraud,9,2,6,1.6111111111111112,0.3931034482758621,8265
Bus ,FTG-459-WQX-543,C-103,Regular,Large,330,330,"13.21331620748757, 77.55413526894684",86,Not Fraud,11,3,8,1.0,0.2606060606060606,28380
Bus ,FTG-001-ACC-123,A-101,Express,Large,350,350,"13.059816123454882, 77.77068662374292",65,Not Fraud,5,2,9,1.0,0.18571428571428572,22750
Car,FTG-002-XCZ-456,B-102,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",78,Not Fraud,21,3,9,1.0,0.65,9360
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",53,Not Fraud,12,1,10,inf,inf,0
Truck,FTG-044-LMN-321,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",92,Not Fraud,4,2,10,1.0,0.26285714285714284,32200
Van,FTG-505-DEF-654,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",60,Not Fraud,19,0,11,1.0,0.42857142857142855,8400
Sedan,FTG-066-GHI-947,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",105,Not Fraud,11,1,11,1.0,0.65625,16800
SUV,FTG-707-YKL-210,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",70,Not Fraud,2,6,12,1.0,0.3888888888888889,12600
Bus ,FTG-088-URW-543,C-103,Regular,Large,350,160,"13.059816123454882, 77.77068662374292",88,Fraud,17,6,1,2.1875,0.25142857142857145,30800
Car,FTG-909-RRT-876,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",45,Not Fraud,9,4,1,1.0,0.375,5400
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",72,Not Fraud,0,6,2,inf,inf,0
Truck,FTG-021-QRE-765,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",58,Not Fraud,16,4,2,1.0,0.1657142857142857,20300
Van,FTG-011-ZXC-432,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",81,Not Fraud,7,5,3,1.0,0.5785714285714286,11340
Sedan,FTG-013-PCI-109,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",67,Not Fraud,22,6,3,1.0,0.41875,10720
SUV,FTG-014-KCH-876,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",98,Not Fraud,14,4,4,1.0,0.5444444444444444,17640
Bus ,FTG-055-DWV-543,A-101,Express,Large,350,350,"13.059816123454882, 77.77068662374292",50,Not Fraud,5,5,4,1.0,0.14285714285714285,17500
Car,FTG-066-NIH-210,B-102,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",75,Not Fraud,21,3,5,1.0,0.625,9000
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",62,Not Fraud,12,4,6,inf,inf,0
Truck,FTG-088-UYT-654,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",84,Not Fraud,4,2,6,1.0,0.24,29400
Van,FTG-099-FRD-321,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",55,Not Fraud,19,3,7,1.0,0.39285714285714285,7700
Sedan,FTG-120-TYU-098,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",80,Not Fraud,10,1,7,1.0,0.5,12800
SUV,FTG-121-BVC-765,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",68,Not Fraud,2,2,8,1.0,0.37777777777777777,12240
Bus ,FTG-122-XSW-432,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",90,Not Fraud,17,0,8,1.0,0.2571428571428571,31500
Car,FTG-123-NMK-109,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",48,Not Fraud,9,1,9,1.0,0.4,5760
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",77,Not Fraud,0,6,10,inf,inf,0
Truck,FTG-125-VBN-543,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",63,Not Fraud,15,0,10,1.0,0.18,22050
Van,FTG-126-PLM-210,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",87,Not Fraud,7,5,11,1.0,0.6214285714285714,12180
Sedan,FTG-127-HGT-987,A-101,Express,Medium,160,140,"13.059816123454882, 77.77068662374292",52,Fraud,22,6,11,1.1428571428571428,0.325,8320
SUV,FTG-128-WSX-654,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",95,Not Fraud,14,4,12,1.0,0.5277777777777778,17100
Bus ,FTG-129-QAZ-321,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",73,Not Fraud,5,5,12,1.0,0.20857142857142857,25550
Car,FTG-130-LPO-098,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",82,Not Fraud,21,4,1,1.0,0.6833333333333333,9840
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",57,Not Fraud,12,1,1,inf,inf,0
Truck,FTG-132-IXC-432,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,Not Fraud,3,2,2,1.0,0.2742857142857143,33600
Van,FTG-033-JCP-109,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",66,Not Fraud,19,0,2,1.0,0.4714285714285714,9240
Sedan,FTG-134-RFV-876,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",89,Not Fraud,10,1,3,1.0,0.55625,14240
SUV,FTG-135-EDC-543,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",51,Not Fraud,2,2,3,1.0,0.2833333333333333,9180
Bus ,FTG-136-OKM-210,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",76,Not Fraud,17,0,4,1.0,0.21714285714285714,26600
Car,FTG-137-NJI-987,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",61,Fraud,9,1,5,inf,0.5083333333333333,7320
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",85,Not Fraud,0,6,5,inf,inf,0
Truck,FTG-029-UTY-321,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",74,Not Fraud,15,0,6,1.0,0.21142857142857144,25900
Van,FTG-140-POU-098,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",93,Not Fraud,7,5,6,1.0,0.6642857142857143,13020
Sedan,FTG-141-ZXC-765,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",49,Not Fraud,22,6,7,1.0,0.30625,7840
SUV,FTG-142-VBN-432,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",83,Not Fraud,14,5,7,1.0,0.46111111111111114,14940
Bus ,FTG-143-QWE-109,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",59,Fraud,5,6,8,3.888888888888889,0.16857142857142857,20650
Car,FTG-034-MKH-876,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",91,Not Fraud,20,4,9,1.0,0.7583333333333333,10920
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",71,Not Fraud,12,6,9,inf,inf,0
Truck,FTG-036-POI-210,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",86,Not Fraud,3,4,10,1.0,0.24571428571428572,30100
Van,FTG-347-XCV-987,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",56,Fraud,19,5,10,1.1666666666666667,0.4,7840
Sedan,FTG-048-JKL-654,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",79,Not Fraud,10,3,11,1.0,0.49375,12640
SUV,FTG-049-RCD-321,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",64,Fraud,2,4,11,1.5,0.35555555555555557,11520
Bus ,FTG-040-HGT-098,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",97,Not Fraud,17,2,12,1.0,0.27714285714285714,33950
Car,FTG-041-YUI-765,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",69,Not Fraud,8,3,12,1.0,0.575,8280
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",94,Not Fraud,0,3,1,inf,inf,0
Truck,FTG-043-NBH-109,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",54,Not Fraud,15,6,1,1.0,0.15428571428571428,18900
Van,FTG-044-KJH-876,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",81,Not Fraud,7,3,2,1.0,0.5785714285714286,11340
Sedan,FTG-053-EDC-543,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",65,Not Fraud,22,4,2,1.0,0.40625,10400
SUV,FTG-046-LMK-210,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",92,Not Fraud,14,3,3,1.0,0.5111111111111111,16560
Bus ,FTG-057-PLN-887,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",50,Not Fraud,6,4,3,1.0,0.14285714285714285,17500
Car,FTG-558-VFR-654,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",75,Not Fraud,21,2,4,1.0,0.625,9000
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",58,Not Fraud,13,4,5,inf,inf,0
Truck,FTG-060-QDZ-098,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",89,Not Fraud,4,2,5,1.0,0.2542857142857143,31150
Van,FTG-061-PDU-765,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",44,Not Fraud,20,3,6,1.0,0.3142857142857143,6160
Sedan,FTG-052-NJH-432,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",78,Not Fraud,11,1,6,1.0,0.4875,12480
SUV,FTG-053-ZXC-109,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",67,Not Fraud,2,2,7,1.0,0.37222222222222223,12060
Bus ,FTG-054-OKM-876,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",95,Not Fraud,18,0,7,1.0,0.2714285714285714,33250
Car,FTG-055-LKJ-543,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",55,Not Fraud,9,1,8,1.0,0.4583333333333333,6600
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",80,Not Fraud,1,6,9,inf,inf,0
Truck,FTG-077-MKF-987,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",62,Not Fraud,16,0,9,1.0,0.17714285714285713,21700
Van,FTG-068-DDV-654,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",87,Fraud,8,5,10,1.1666666666666667,0.6214285714285714,12180
Sedan,FTG-059-NBH-321,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",47,Not Fraud,23,6,10,1.0,0.29375,7520
SUV,FTG-060-POI-098,B-102,Regular,Large,180,100,"13.059816123454882, 77.77068662374292",73,Fraud,14,4,11,1.8,0.40555555555555556,13140
Bus ,FTG-061-WSX-765,C-103,Express,Large,350,120,"13.059816123454882, 77.77068662374292",68,Fraud,6,5,11,2.9166666666666665,0.19428571428571428,23800
Car,FTG-062-QAZ-432,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",91,Not Fraud,21,3,12,1.0,0.7583333333333333,10920
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",53,Not Fraud,13,5,12,inf,inf,0
Truck,FTG-064-VFR-876,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",82,Not Fraud,4,5,1,1.0,0.2342857142857143,28700
Van,FTG-065-YUI-543,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",56,Not Fraud,20,1,1,1.0,0.4,7840
Sedan,FTG-066-CDE-210,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",84,Not Fraud,12,5,2,1.0,0.525,13440
SUV,FTG-067-LMK-987,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",69,Not Fraud,3,6,2,1.0,0.38333333333333336,12420
Bus ,FTG-068-NJH-654,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",94,Not Fraud,19,4,3,1.0,0.26857142857142857,32900
Car,FTG-069-RFD-321,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",49,Not Fraud,10,6,4,1.0,0.4083333333333333,5880
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",76,Not Fraud,2,4,4,inf,inf,0
Truck,FTG-083-BVC-765,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",63,Not Fraud,17,5,5,1.0,0.18,22050
Van,FTG-082-XRV-432,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",88,Not Fraud,8,4,5,1.0,0.6285714285714286,12320
Sedan,FTG-073-LKJ-109,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",74,Not Fraud,0,5,6,1.0,0.4625,11840
SUV,FTG-074-POU-876,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",96,Not Fraud,15,3,6,1.0,0.5333333333333333,17280
Bus ,FTG-055-ZXC-543,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",61,Not Fraud,7,4,7,1.0,0.1742857142857143,21350
Car,FTG-066-PLM-210,A-101,Regular,Small,120,100,"13.059816123454882, 77.77068662374292",85,Fraud,22,2,8,1.2,0.7083333333333334,10200
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",52,Not Fraud,14,4,8,inf,inf,0
Truck,FTG-058-WSX-654,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,Not Fraud,6,2,9,1.0,0.2257142857142857,27650
Van,FTG-099-QAZ-321,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",66,Not Fraud,21,3,9,1.0,0.4714285714285714,9240
Sedan,FTG-050-RFD-098,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",90,Not Fraud,13,1,10,1.0,0.5625,14400
SUV,FTG-081-YUI-765,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",48,Not Fraud,4,2,10,1.0,0.26666666666666666,8640
Bus ,FTG-082-BVC-432,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",77,Not Fraud,20,0,11,1.0,0.22,26950
Car,FTG-063-NBH-109,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",60,Not Fraud,11,1,11,1.0,0.5,7200
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",83,Not Fraud,2,6,12,inf,inf,0
Truck,FTG-055-EDC-543,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",71,Not Fraud,18,6,1,1.0,0.20285714285714285,24850
Van,FTG-095-LMK-210,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",97,Not Fraud,9,4,1,1.0,0.6928571428571428,13580
Sedan,FTG-077-PLN-987,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",46,Not Fraud,1,6,2,1.0,0.2875,7360
SUV,FTG-088-VFR-654,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",81,Not Fraud,16,4,2,1.0,0.45,14580
Bus ,FTG-079-WSX-321,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",64,Not Fraud,8,5,3,1.0,0.18285714285714286,22400
Car,FTG-170-QAZ-098,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",93,Not Fraud,23,6,3,1.0,0.775,11160
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",57,Not Fraud,23,6,1,inf,inf,0
Truck,FTG-121-ABC-654,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",86,Not Fraud,15,1,2,1.0,0.24571428571428572,30100
Van,FTG-131-PQR-321,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",55,Fraud,6,6,2,1.1666666666666667,0.39285714285714285,7700
Sedan,FTG-114-DEF-098,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",82,Not Fraud,22,0,3,1.0,0.5125,13120
SUV,FTG-125-LMN-665,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",63,Not Fraud,13,5,4,1.0,0.35,11340
Bus ,FTG-106-GHI-332,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",90,Not Fraud,5,3,4,1.0,0.2571428571428571,31500
Car,FTG-107-JKL-009,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",48,Not Fraud,20,4,5,1.0,0.4,5760
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",76,Not Fraud,11,3,5,inf,inf,0
Truck,FTG-109-RST-443,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",58,Not Fraud,3,4,6,1.0,0.1657142857142857,20300
Van,FTG-110-MNO-110,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",87,Not Fraud,18,2,6,1.0,0.6214285714285714,12180
Sedan,FTG-111-QWE-887,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",67,Fraud,10,4,7,1.3333333333333333,0.41875,10720
SUV,FTG-112-ZXC-454,B-102,Regular,Large,180,140,"13.059816123454882, 77.77068662374292",94,Fraud,1,2,8,1.2857142857142858,0.5222222222222223,16920
Bus ,FTG-113-POI-323,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",71,Not Fraud,17,3,8,1.0,0.20285714285714285,24850
Car,FTG-114-KJH-088,A-101,Regular,Small,120,0,"13.059816123454882, 77.77068662374292",89,Fraud,8,1,9,inf,0.7416666666666667,10680
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",52,Not Fraud,23,2,9,inf,inf,0
Truck,FTG-116-NBH-332,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,Not Fraud,15,0,10,1.0,0.2257142857142857,27650
Van,FTG-117-LKI-009,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",66,Not Fraud,6,1,10,1.0,0.4714285714285714,9240
Sedan,FTG-118-UYT-886,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",95,Not Fraud,22,6,11,1.0,0.59375,15200
SUV,FTG-119-FRD-333,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",44,Not Fraud,13,1,11,1.0,0.24444444444444444,7920
Bus ,FTG-120-TRU-110,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",78,Not Fraud,4,6,12,1.0,0.22285714285714286,27300
